行号,总 Token 数
1,3934
2,3749
3,1969
4,1083
5,954
6,1401
7,367
8,3071
9,506
10,4754
11,3492
12,1867
13,662
14,727
15,5636
16,4013
17,4077
18,4272
19,3665
20,3521
21,852
22,435
23,363
24,5661
25,3902
26,3022
27,2810
28,3105
29,588
30,3791
31,4091
32,1710
33,479
34,2388
35,645
36,6104
37,3524
38,2975
39,3262
40,3059
41,3275
42,544
43,311
44,5046
45,5122
46,5543
47,4853
48,4865
49,4793
50,4644
51,1884
52,541
53,4501
54,2841
55,2968
56,2820
57,2917
58,618
59,497
60,2965
61,2119
62,966
63,685
64,39502
65,3851
66,3225
67,5924
68,4015
69,3866
70,3727
71,751
72,11280
73,4259
74,3925
75,4533
76,3631
77,4734
78,3405
79,3209
80,3283
81,3359
82,3463
83,3769
84,3479
85,3409
86,3377
87,3296
88,3563
89,3317
90,3509
91,3789
92,3546
93,3567
94,3582
95,3872
96,3559
97,3412
98,3449
99,3223
100,3711
101,2991
102,499
103,5987
104,1281
105,958
106,961
107,22145
108,7140
109,3035
110,3047
111,2554
112,5144
113,5036
114,5193
115,5251
116,2140
117,1175
118,3016
119,2137
120,4897
121,5154
122,2727
123,610
124,6873
125,4482
126,3825
127,4037
128,3804
129,3747
130,3920
131,3834
132,4013
133,3790
134,4186
135,3581
136,2908
137,4535
138,4120
139,4045
140,3730
141,3793
142,3865
143,1161
144,82183
145,4360
146,4852
147,4819
148,5075
149,4810
150,4795
151,5026
152,5009
153,4809
154,4902
155,5050
156,5023
157,4943
158,5253
159,4801
160,5019
161,4900
162,5026
163,4739
164,4931
165,4805
166,5006
167,4637
168,5281
169,4925
170,5173
171,655
172,4564
173,5023
174,4827
175,4777
176,4914
177,4885
178,5140
179,5067
180,5214
181,4799
182,5028
183,5421
184,4687
185,4611
186,4683
187,4725
188,5116
189,4994
190,5047
191,5070
192,4813
193,5157
194,4644
195,26478
196,4233
197,3698
198,3463
199,3111
200,3231
201,3121
202,3259
203,3109
204,3099
205,9653
206,2732
207,1028
208,4860
209,4318
210,4426
211,3606
212,4183
213,3732
214,3604
215,3522
216,3404
217,17659
218,12375
219,12121
220,9505
221,5127
222,4758
223,4142
224,4776
225,4108
226,4182
227,4220
228,4228
229,4505
230,4205
231,4056
232,4617
233,4087
234,4136
235,3934
236,3948
237,3894
238,2824
239,3906
240,5011
241,4616
242,4510
243,4903
244,4585
245,4597
246,4366
247,6349
248,12777
249,9788
250,4104
251,3935
252,4109
253,3975
254,4010
255,4011
256,4162
257,3937
258,3689
259,4177
260,3930
261,3973
262,4917
263,4101
264,3981
265,4468
266,3875
267,3928
268,4407
269,4029
270,3561
271,41553
272,16519
273,10666
274,25958
275,4657
276,426
277,6819
278,4846
279,3110
280,3080
281,2817
282,2799
283,2771
284,2996
285,2802
286,8474
287,1707
288,3880
289,3921
290,3900
291,3733
292,3696
293,3649
294,3817
295,3832
296,3918
297,3592
298,2293
299,11129
300,9672
301,5290
302,4917
303,4277
304,3822
305,4093
306,3730
307,4199
308,3855
309,3812
310,3299
311,14662
312,13255
313,13494
314,13449
315,56671
316,7120
317,4100
318,4395
319,4044
320,4157
321,4580
322,4230
323,5034
324,3897
325,3972
326,3888
327,4028
328,4230
329,3955
330,3711
331,4124
332,4110
333,908
334,7986
335,5425
336,8354
337,3313
338,3564
339,3054
340,3325
341,3084
342,3005
343,3064
344,3399
345,475
346,1472
347,115324
348,10398
349,1375
350,4481
351,3663
352,3911
353,4048
354,4005
355,3673
356,4058
357,3681
358,4117
359,4005
360,3403
361,3255
362,3278
363,3361
364,1331
365,667
366,5358
367,5198
368,13088
369,24628
370,10406
371,5937
372,3863
373,3991
374,4180
375,4440
376,4363
377,4227
378,4338
379,4116
380,4876
381,3940
382,4187
383,3926
384,4261
385,3924
386,4310
387,4087
388,3912
389,4379
390,4201
391,4009
392,4050
393,3861
394,4159
395,3847
396,3794
397,3762
398,4231
399,4145
400,4128
401,4177
402,4125
403,3590
404,1738
405,67361
406,3967
407,4056
408,3659
409,3716
410,3837
411,3813
412,3900
413,3906
414,3333
415,3923
416,3642
417,546
418,496
419,3624
420,3716
421,582
422,1432
423,1054
424,724
425,714
426,5813
427,7798
428,11315
429,4921
430,48076
431,32899
432,6973
433,3734
434,4178
435,4664
436,2002
437,674
438,4197
439,3929
440,2631
441,384
442,3093
443,3249
444,3067
445,2821
446,3212
447,2943
448,3079
449,2919
450,3013
451,2901
452,2835
453,2927
454,3279
455,3755
456,3101
457,2983
458,2965
459,2980
460,2916
461,2806
462,3044
463,2916
464,2782
465,3278
466,2908
467,2994
468,3474
469,1062
470,350
471,10517
472,5313
473,6906
474,4015
475,4673
476,8078
477,4797
478,3865
479,3836
480,4664
481,3592
482,3930
483,3780
484,3663
485,3581
486,3684
487,3927
488,3798
489,3832
490,3851
491,4768
492,4643
493,3997
494,3822
495,5115
496,4048
497,4134
498,3723
499,3928
500,1938
501,6970
502,1966
503,6193
504,3609
505,3862
506,2083
507,15696
508,3837
509,3739
510,621
511,7023
512,4888
513,3917
514,3802
515,3220
516,3817
517,3826
518,3864
519,3388
520,1767
521,4492
522,7193
523,7691
524,3717
525,3930
526,17404
527,35910
528,10649
529,3784
530,3990
531,3702
532,3613
533,1875
534,17030
535,5001
536,4579
537,1556
538,4718
539,4639
540,4923
541,4785
542,4748
543,4757
544,5206
545,4694
546,4762
547,4709
548,1142
549,5733
550,4611
551,4468
552,4600
553,4619
554,4507
555,5137
556,4787
557,4634
558,4668
559,5151
560,4199
561,11745
562,12567
563,10201
564,18356
565,23168
566,13665
567,10340
568,8982
569,12343
570,4141
571,4187
572,3774
573,3888
574,3894
575,4012
576,4519
577,4438
578,4175
579,3895
580,3872
581,3869
582,4116
583,4242
584,4051
585,3916
586,4316
587,4085
588,3696
589,4547
590,4063
591,4358
592,4241
593,4611
594,4499
595,3797
596,3887
597,3558
598,3799
599,3683
600,3247
601,3527
602,970
603,485
604,3166
605,3379
606,776
607,3648
608,3849
609,3845
610,3648
611,3495
612,3711
613,2992
614,6232
615,5081
616,5072
617,5023
618,5309
619,5210
620,5315
621,5129
622,5081
623,5277
624,6166
625,4688
626,5228
627,5200
628,1224
629,185579
630,5491
631,1969
632,346
633,5087
634,676
635,4297
636,4602
637,2430
